Bioreg;PPOMed;SST;Psu;Long;Lat
TAB;TUN;0,861;19,75;37,22;8,786055;36,9943
BIZ;TUN;0,854;18,9;37,34;9,878795;37,297607
RAF;TUN;0,99;19,4;37,33;10,203081;37,214059
ZAO;TUN;0,95;21,34;37,55;11,04723;33,767107
ZAP;TUN;0,725;21,49;37,56;11,121226;33,463355
ELK;TUN;0,97;20,25;37,21;10,64981;35,887089
MON;TUN;0,98;19,82;37,16;10,863784;35,786156
HER;TUN;0,945;20,2;37,23;10,561153;36,038419
MAH;TUN;0,98;20,51;37,1;11,109116;35,485321
GAL;ION;0,745;18,21;38,33;17,990823;40,034727
MAR;ION;0,448;18,38;38,36;17,586021;40,285804
PPR;ION;0,394;18,69;38,36;17,781226;40,282774
BPA;ADR;0,372;18,08;38,36;16,805351;41,145278
PPE;ADR;0,375;18,26;38,41;18,017278;40,653043
SDO;ADR;0,285;18,23;38,01;15,520238;42,140353
CBA;CWM;0,875;18,12;38,18;8,73604;42,581745
TAV;CWM;0,724;18,34;38,17;9,742948;40,923885
LIV;CWM;0,736;18,19;37,75;10,329386;43,482636
LAM;CWM;0,395;19,48;38;13,902627;40,757585
CAR;CWM;0,649;19,4;38;13,969919;40,736024
PCO;CWM;0,902;17,43;37,94;8,20386;40,608289
CHIA;CWM;0,932;18,13;37,91;11,444881;42,37413
MOR;CWM;0,958;18,59;37,94;11,596622;42,304662
GIAN;CWM;0,043;18,81;37,95;11,108687;42,261636
LAMP;CWM;0,965;20,27;37,48;12,579694;35,498953
MART;CWM;0,822;19,25;37,48;12,053346;37,991499
MED;CWM;0,174;16,76;37,93;3,220883;42,050022
ALI;CWM;0,448;19,56;37,41;-0,452367;38,343085